"PGETUDO","KANA","EIJI","KANJI"
"202604","0ｲﾀ  ","ET-G ","ＥＴ－Ｇ　"
"202604","0ｲ-ﾀﾂ","ETK-G","ＥＴＫ－Ｇ"
"202604","0ｴﾈﾋﾞ","ENEBI","エリア値引"
"202604","0ｵﾝｼﾞ","ONJ-G","ＯＮＪ－Ｇ"
"202604","0ｺﾈﾋﾞ","SNEBI","食系値引　"
"202604","0ｻｸﾛﾝ","SC-G ","ＳＣ－Ｇ　"
"202604","0ｻﾞ-ﾈ","Z-G  ","Ｚ－Ｇ　　"
"202604","0ｻﾗｹｱ","FBJ-G","ＦＢＪ－Ｇ"
"202604","0ｾﾙﾍﾞ","SBL-G","ＳＢＬ－Ｇ"
"202604","0ﾄｳｼ ","WCA-G","ＷＣＡ－Ｇ"
"202604","0ﾄﾗﾍﾞ","T-G  ","Ｔ－Ｇ　　"
"202604","0ﾅﾎﾞ ","NAB-G","ＮＡＢ－Ｇ"
"202604","0ﾆﾖｳ ","ANC-G","ＡＮＣ－Ｇ"
"202604","0ﾈﾑｹｱ","NMC-G","ＮＭＣ－Ｇ"
"202604","0ﾊﾟﾘｴ","PRT-G","ＰＲＴ－Ｇ"
"202604","0ﾋﾞｼﾞ","BBT-G","ＢＢＴ－Ｇ"
"202604","0ﾋﾞﾁ ","BCM-G","ＢＣＭーＧ"
"202604","0ﾋﾞﾁﾖ","BCC-G","ＢＣＣ－Ｇ"
"202604","0ﾋﾞﾄﾞ","BBD-G","ＢＢＤ－Ｇ"
"202604","0ﾍﾙｹ ","ESP-G","ＥＳＰ－Ｇ"
"202604","0ﾎﾝﾈ ","HNEBI","本部値引　"
"202604","0ﾕﾍﾞX","ELX-G","ＥＬＸ－Ｇ"
"202604","2ﾈﾋﾞｷ","2NEBK","薬粧値引計"
"202604","ｱﾝﾃｲ ","ANTE ","安定品　　"
"202604","ｶｲｶﾞｲ","KAIGA","海外品　　"
"202604","ｼﾞﾕｳ ","JYU  ","重点品　　"
"202604","ｾﾝﾘﾔｸ","SENR ","戦略品　　"
"202604","ｿﾉﾀ  ","SNOTA","その他　　"
"202604","ﾔｸｼﾖｳ","ALL  ","薬粧品計　"
