"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Layout_KBN","Todofuken_CD","Shusei_KBN","Maintenance_DT","Tenso_DT","IryokenMaintenace_DT","Koji_DT","Seishin_KijunByosho","Seishin_KizonByosho","Seishin_Kizon_DT","Seishin_Kafusokusu","Kekkaku_KijunByosho","Kekkaku_KizonByosho","Kekkaku_Kizon_DT","Kekkaku_Kafusokusu","Kansen_KijunByosho","Kansen_KizonByosho","Kansen_Kizon_DT","Kansen_Kafusokusu"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:16:51","BATCH","02/18/2013 00:00:00","PVS_XP_2060","121","01","A","20121127","20121203","20100401","20100401","19615","20618","20100101","1003","205","502","20100101","297","98","90","20100101","-8"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:16:51","BATCH","02/18/2013 00:00:00","PVS_XP_2060","121","02","A","20121127","20121203","20100501","20100401","3918","4465","20091201","547","65","112","20091201","47","32","20","20091201","-12"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:16:51","BATCH","02/18/2013 00:00:00","PVS_XP_2060","121","03","A","20121127","20121203","20110901","20080418","4497","4796","20070930","299","126","216","20070930","90","40","38","20070930","-2"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:16:51","BATCH","02/18/2013 00:00:00","PVS_XP_2060","121","04","A","20121127","20121203","20090901","20080401","4627","6495","20070930","1868","100","140","20070930","40","28","28","20070930","0"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:16:51","BATCH","02/18/2013 00:00:00","PVS_XP_2060","121","05","A","20121127","20121203","20080501","20080328","3508","4350","20070331","842","51","89","20070331","38","36","30","20070331","-6"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:16:51","BATCH","02/18/2013 00:00:00","PVS_XP_2060","121","06","A","20121127","20121203","20080501","20080318","3003","4090","20071201","1087","59","50","20071201","-9","22","18","20071201","-4"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:16:51","BATCH","02/18/2013 00:00:00","PVS_XP_2060","121","07","A","20121127","20121203","20080701","20080408","6568","7730","20070331","1162","78","241","20070331","163","36","36","20070331","0"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:16:51","BATCH","02/18/2013 00:00:00","PVS_XP_2060","121","08","A","20121127","20121203","20080501","20080331","5038","7716","20080118","2678","113","213","20080118","100","48","48","20080118","0"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:16:51","BATCH","02/18/2013 00:00:00","PVS_XP_2060","121","09","A","20121127","20121203","20111001","20080331","4669","5315","20080101","646","65","134","20080101","69","28","26","20080101","-2"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:16:51","BATCH","02/18/2013 00:00:00","PVS_XP_2060","121","10","A","20121127","20121203","20100501","20100330","4419","5255","20100331","836","66","69","20100331","3","48","46","20100331","-2"
