"Meisho_KBN","Meisho_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","CodeKubun_KJ","CodeKubun_KJR","CodeKubun_KN","CodeKubun_KNR","Kaiso_KBN","Komoku_SEQ","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Shinseisha_ID","Shinsei_DT"
"PVS_Z0226","PVS_Z0226","08/24/2018 00:00:00","12/31/9999 00:00:00","False","遺伝カウンセリング加算","遺伝カウンセリング加算","ｲﾃﾞﾝｶｳﾝｾﾘﾝｸﾞｶｻﾝ","ｲﾃﾞﾝｶｳﾝｾﾘﾝｸﾞｶｻﾝ","01","1","itg04213","08/06/2018 00:00:00","itg04213","08/06/2018 00:00:00","PVS_XP_2000","itg04213","08/06/2018 00:00:00"
"PVS_Z0226","1","08/24/2018 00:00:00","12/31/9999 00:00:00","False","遺伝カ","遺伝カ","ｲﾃﾞﾝｶ","ｲﾃﾞﾝｶ","02","3","itg04213","08/06/2018 00:00:00","itg04213","08/06/2018 00:00:00","PVS_XP_2000","itg04213","08/06/2018 00:00:00"
"PVS_Z0225","PVS_Z0225","08/24/2018 00:00:00","12/31/9999 00:00:00","False","地域支援体制加算","地域支援体制加算","ﾁｲｷｼｴﾝﾀｲｾｲｶｻﾝ","ﾁｲｷｼｴﾝﾀｲｾｲｶｻﾝ","01","1","itg04213","08/06/2018 00:00:00","itg04213","08/06/2018 00:00:00","PVS_XP_2000","itg04213","08/06/2018 00:00:00"
"PVS_Z0225","1","08/24/2018 00:00:00","12/31/9999 00:00:00","False","地域支援体制","地域支援体制","ﾁｲｷｼｴﾝﾀｲｾｲ","ﾁｲｷｼｴﾝﾀｲｾｲ","02","3","itg04213","08/06/2018 00:00:00","itg04213","08/06/2018 00:00:00","PVS_XP_2000","itg04213","08/06/2018 00:00:00"
"PVS_Z0224","PVS_Z0224","08/24/2018 00:00:00","12/31/9999 00:00:00","False","調剤基本料１（注１のただし書に該当する場合）","調剤基本料１（注１のただし書に該当する場合）","ﾁﾖｳｻﾞｲｷﾎﾝﾘﾖｳ1(ﾁﾕｳ1ﾉﾀﾀﾞｼｶﾞｷﾆｶﾞｲﾄｳｽﾙﾊﾞｱｲ)","ﾁﾖｳｻﾞｲｷﾎﾝﾘﾖｳ1(ﾁﾕｳ1ﾉﾀﾀﾞｼｶﾞｷﾆｶﾞｲﾄｳｽﾙﾊﾞｱｲ)","01","1","itg04213","08/06/2018 00:00:00","itg04213","08/06/2018 00:00:00","PVS_XP_2000","itg04213","08/06/2018 00:00:00"
"PVS_Z0224","1","08/24/2018 00:00:00","12/31/9999 00:00:00","False","調基特１","調基特１","ﾁﾖｳｷﾄｸ1","ﾁﾖｳｷﾄｸ1","02","3","itg04213","08/06/2018 00:00:00","itg04213","08/06/2018 00:00:00","PVS_XP_2000","itg04213","08/06/2018 00:00:00"
"PVS_Z0223","PVS_Z0223","08/24/2018 00:00:00","12/31/9999 00:00:00","False","運動器リハビリテーション料","運動器リハビリテーション料","ｳﾝﾄﾞｳｷﾘﾊﾋﾞﾘﾃｰｼﾖﾝﾘﾖｳ","ｳﾝﾄﾞｳｷﾘﾊﾋﾞﾘﾃｰｼﾖﾝﾘﾖｳ","01","1","itg04213","08/06/2018 00:00:00","itg04213","08/06/2018 00:00:00","PVS_XP_2000","itg04213","08/06/2018 00:00:00"
"PVS_Z0223","3","08/24/2018 00:00:00","12/31/9999 00:00:00","False","運（Ⅲ）","運（Ⅲ）","ｳﾝ(3)","ｳﾝ(3)","02","5","itg04213","08/06/2018 00:00:00","itg04213","08/06/2018 00:00:00","PVS_XP_2000","itg04213","08/06/2018 00:00:00"
"PVS_Z0223","2","08/24/2018 00:00:00","12/31/9999 00:00:00","False","運（Ⅱ）","運（Ⅱ）","ｳﾝ(2)","ｳﾝ(2)","02","4","itg04213","08/06/2018 00:00:00","itg04213","08/06/2018 00:00:00","PVS_XP_2000","itg04213","08/06/2018 00:00:00"
"PVS_Z0223","1","08/24/2018 00:00:00","12/31/9999 00:00:00","False","運（Ⅰ）","運（Ⅰ）","ｳﾝ(1)","ｳﾝ(1)","02","3","itg04213","08/06/2018 00:00:00","itg04213","08/06/2018 00:00:00","PVS_XP_2000","itg04213","08/06/2018 00:00:00"
"PVS_Z0222","PVS_Z0222","08/24/2018 00:00:00","12/31/9999 00:00:00","False","脳血管疾患等リハビリテーション料","脳血管疾患等リハビリテーション料","ﾉｳｹﾂｶﾝｼﾂｶﾝﾄｳﾘﾊﾋﾞﾘﾃ-ｼﾖﾝﾘﾖｳ","ﾉｳｹﾂｶﾝｼﾂｶﾝﾄｳﾘﾊﾋﾞﾘﾃ-ｼﾖﾝﾘﾖｳ","01","1","itg04213","08/06/2018 00:00:00","itg04213","08/06/2018 00:00:00","PVS_XP_2000","itg04213","08/06/2018 00:00:00"
"PVS_Z0222","3","08/24/2018 00:00:00","12/31/9999 00:00:00","False","脳（Ⅲ）","脳（Ⅲ）","ﾉｳ(3)","ﾉｳ(3)","02","5","itg04213","08/06/2018 00:00:00","itg04213","08/06/2018 00:00:00","PVS_XP_2000","itg04213","08/06/2018 00:00:00"
"PVS_Z0222","2","08/24/2018 00:00:00","12/31/9999 00:00:00","False","脳（Ⅱ）","脳（Ⅱ）","ﾉｳ(2)","ﾉｳ(2)","02","4","itg04213","08/06/2018 00:00:00","itg04213","08/06/2018 00:00:00","PVS_XP_2000","itg04213","08/06/2018 00:00:00"
"PVS_Z0222","1","08/24/2018 00:00:00","12/31/9999 00:00:00","False","脳（Ⅰ）","脳（Ⅰ）","ﾉｳ(1)","ﾉｳ(1)","02","3","itg04213","08/06/2018 00:00:00","itg04213","08/06/2018 00:00:00","PVS_XP_2000","itg04213","08/06/2018 00:00:00"
"PVS_Z0220","PVS_Z0220","08/24/2018 00:00:00","12/31/9999 00:00:00","False","地域連携診療計画加算","地域連携診療計画加算","ﾁｲｷﾚﾝｹｲｼﾝﾘﾖｳｹｲｶｸｶｻﾝ","ﾁｲｷﾚﾝｹｲｼﾝﾘﾖｳｹｲｶｸｶｻﾝ","01","1","itg04213","08/06/2018 00:00:00","itg04213","08/06/2018 00:00:00","PVS_XP_2000","itg04213","08/06/2018 00:00:00"
"PVS_Z0220","1","08/24/2018 00:00:00","12/31/9999 00:00:00","False","地連携","地連携","ﾁﾚﾝｹｲ","ﾁﾚﾝｹｲ","02","3","itg04213","08/06/2018 00:00:00","itg04213","08/06/2018 00:00:00","PVS_XP_2000","itg04213","08/06/2018 00:00:00"
"PVS_Z0219","PVS_Z0219","08/24/2018 00:00:00","12/31/9999 00:00:00","False","がん治療連携指導料","がん治療連携指導料","ｶﾞﾝﾁﾘﾖｳﾚﾝｹｲｼﾄﾞｳﾘﾖｳ","ｶﾞﾝﾁﾘﾖｳﾚﾝｹｲｼﾄﾞｳﾘﾖｳ","01","1","itg04213","08/06/2018 00:00:00","itg04213","08/06/2018 00:00:00","PVS_XP_2000","itg04213","08/06/2018 00:00:00"
"PVS_Z0219","1","08/24/2018 00:00:00","12/31/9999 00:00:00","False","がん治療連携指","がん治療連携指","ｶﾞﾝﾁﾘﾖｳﾚﾝｹｲｼ","ｶﾞﾝﾁﾘﾖｳﾚﾝｹｲｼ","02","3","itg04213","08/06/2018 00:00:00","itg04213","08/06/2018 00:00:00","PVS_XP_2000","itg04213","08/06/2018 00:00:00"
