"JIS_Ken_CD","JIS_Shikuchoson_CD","Todofuken_KJ","Shikugun_KJ","Todofuken_KN","Shikugun_KN","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Shinseisha_ID","Shinsei_DT"
"40","231","福岡県","那珂川市","","","itg04213","09/26/2018 00:00:00","BATCH","09/26/2018 00:00:00","PVS_XP_2001","itg04213","09/26/2018 00:00:00"
"04","210","宮城県","泉市","","","BATCH","10/17/2016 14:45:40","BATCH","10/17/2016 14:45:40","PVS_XP_2001","BATCH","10/17/2016 14:45:40"
"04","216","宮城県","富谷市","","","Tenyuryoku","10/06/2016 00:00:00","BATCH","11/17/2017 14:45:36","PVS_XP_2001","BATCH","11/17/2017 14:45:36"
"03","216","岩手県","滝沢市","","","itg04213","02/05/2014 00:00:00","BATCH","02/05/2014 00:00:00","PVS_XP_2001","itg04213","02/05/2014 00:00:00"
"12","239","千葉県","大網白里市","","","BATCH","07/17/2013 11:08:47","BATCH","09/17/2013 14:45:56","PVS_XP_2001","BATCH","09/17/2013 14:45:56"
"47","356","沖縄県","島尻郡渡名喜村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"47","352","沖縄県","島尻郡具志川村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"47","204","沖縄県","コザ市","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"46","526","鹿児島県","大島郡住用村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"46","391","鹿児島県","薩摩郡鹿島村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"45","426","宮崎県","東臼杵郡北方町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"44","522","大分県","宇佐郡安心院町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"44","441","大分県","直入郡荻町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"44","424","大分県","大野郡緒方町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"44","341","大分県","速見郡日出町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"44","322","大分県","東国東郡姫島村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"44","302","大分県","西国東郡真玉町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"43","532","熊本県","天草郡天草町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"43","526","熊本県","天草郡御所浦町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"43","506","熊本県","球磨郡湯前町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"43","503","熊本県","球磨郡免田町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"43","502","熊本県","球磨郡上村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"43","201","熊本県","熊本市","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"42","382","長崎県","北松浦郡生月町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"42","376","長崎県","南高来郡深江町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"42","375","長崎県","南高来郡布津町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"42","316","長崎県","西彼杵郡三重村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"41","402","佐賀県","西松浦郡西有田町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"40","604","福岡県","田川郡糸田町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"40","581","福岡県","三池郡高田町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"40","502","福岡県","三井郡小郡町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"40","362","福岡県","宗像郡福間町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"40","346","福岡県","糟屋郡志賀町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"40","304","福岡県","筑紫郡大野町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"40","303","福岡県","筑紫郡春日町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"40","201","福岡県","福岡市","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"39","409","高知県","高岡郡仁淀村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"39","385","高知県","吾川郡吾北村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"39","382","高知県","吾川郡池川町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"39","343","高知県","長岡郡介良村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"39","342","高知県","長岡郡大津村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"39","303","高知県","安芸郡田野町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"39","207","高知県","中村市","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"38","503","愛媛県","南宇和郡城辺町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"38","462","愛媛県","東宇和郡宇和町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"38","209","愛媛県","伊予三島市","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"37","426","香川県","三豊郡詫間町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"37","405","香川県","仲多度郡仲南町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"37","403","香川県","仲多度郡琴平町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"37","386","香川県","綾歌郡宇多津町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"37","364","香川県","香川郡直島町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"37","321","香川県","小豆郡内海町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"37","304","香川県","大川郡津田町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"36","462","徳島県","美馬郡美馬町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"36","461","徳島県","美馬郡脇町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"36","445","徳島県","麻植郡木屋平村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"36","444","徳島県","麻植郡美郷村","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
"36","422","徳島県","阿波郡阿波町","","","BATCH","12/27/2012 15:29:24","BATCH","12/27/2012 00:00:00","PVS_XP_2001","IKOU","12/27/2012 15:29:24"
