"JIS_Ken_CD","JIS_Shikuchoson_CD","Corp_ID","Segment_KBN","Himozuke_KBN","Himozuke_SEQ","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Himozuke_KBN_KJ","Himozuke_CD","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Shinseisha_ID","Shinsei_DT"
"01","000","EA","0","PVS_J0001","1","10/01/2017 00:00:00","12/31/9999 00:00:00","False","市区町村と地域連携統括部の紐付け","011099","INTAGE","02/10/2018 00:00:00","INTAGE","02/10/2018 00:00:00","PVS_XP_2002","INTAGE","02/10/2018 00:00:00"
"01","000","EA","0","PVS_J0004","1","04/01/2018 00:00:00","12/31/9999 00:00:00","False","都道府県と流通推進部の紐付け","01","ITSP","04/04/2018 00:00:00","ITSP","04/04/2018 00:00:00","PVS_XP_2002","ITSP","04/04/2018 00:00:00"
"01","000","ECL","1","PVS_J0001","1","02/06/2014 00:00:00","11/06/2014 00:00:00","False","市区町村と包括組織の紐付け","082001","BATCH","02/06/2014 00:00:00","itg04213","11/07/2014 00:00:00","PVS_XP_2002","BATCH","02/06/2014 00:00:00"
"01","000","ECL","1","PVS_J0001","1","11/07/2014 00:00:00","03/31/2015 00:00:00","False","市区町村と包括組織の紐付け","082001","itg04213","11/06/2014 00:00:00","itg04213","04/01/2015 00:00:00","PVS_XP_2002","itg04213","03/06/2015 00:00:00"
"01","000","ECL","1","PVS_J0001","1","04/01/2015 00:00:00","03/31/2016 00:00:00","False","市区町村と包括組織の紐付け","212001","itg04213","11/06/2014 00:00:00","itg04213","04/01/2016 00:00:00","PVS_XP_2002","itg04213","03/25/2015 00:00:00"
"01","000","ECL","1","PVS_J0001","1","04/01/2016 00:00:00","03/31/2017 00:00:00","False","市区町村と地域連携統括部の紐付け","212001","itg04213","03/03/2016 00:00:00","itg04213","04/01/2017 00:00:00","PVS_XP_2002","itg04213","03/03/2016 00:00:00"
"01","000","ECL","1","PVS_J0001","1","04/01/2017 00:00:00","03/31/2020 00:00:00","False","市区町村と地域連携統括部の紐付け","212003","itg04213","04/01/2017 00:00:00","BATCH","04/01/2017 00:00:00","PVS_XP_2002","itg04213","03/23/2017 00:00:00"
"01","000","ECL","1","PVS_J0001","1","04/01/2020 00:00:00","12/31/9999 00:00:00","False","市区町村と地域連携統括部の紐付け","21201001","ITSP","03/06/2020 00:00:00","ITSP","03/06/2020 00:00:00","PVS_XP_2002","ITSP","03/06/2020 00:00:00"
"01","000","ECL","1","PVS_J0002","1","12/01/2012 00:00:00","03/31/2013 00:00:00","False","支店・エリアと都道府県の紐付け","01","batch","12/27/2012 17:26:15","BATCH","03/18/2013 00:00:00","PVS_XP_2002","IKOU","12/27/2012 17:26:15"
"01","000","ECL","1","PVS_J0002","1","04/01/2013 00:00:00","06/30/2014 00:00:00","False","都道府県と薬支店・ＯＮＣエリアの紐付け","01","BATCH","03/15/2013 21:27:33","itg04213","07/01/2014 00:00:00","PVS_XP_2002","BATCH","03/15/2013 21:27:33"
