"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Layout_KBN","ByoinShubetsu_CD","Shusei_KBN","Maintenance_DT","Tenso_DT","Meisho_KJ"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:55","BATCH","04/14/2026 00:00:00","PVS_XP_2079","002","1","A","20121127","20121203","一般"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:55","BATCH","04/14/2026 00:00:00","PVS_XP_2079","002","2","A","20121127","20121203","精神"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:55","BATCH","04/14/2026 00:00:00","PVS_XP_2079","002","3","A","20121127","20121203","結核"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:55","BATCH","04/14/2026 00:00:00","PVS_XP_2079","002","4","A","20121127","20121203","ハンセン"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:55","BATCH","04/14/2026 00:00:00","PVS_XP_2079","002","5","A","20121127","20121203","伝染"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:55","BATCH","04/14/2026 00:00:00","PVS_XP_2079","002","6","A","20121127","20121203","歯科"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:55","BATCH","04/14/2026 00:00:00","PVS_XP_2079","002","7","A","20121127","20121203","診療所"
"12/01/2012 00:00:00","02/17/2013 00:00:00","False","Batch","12/27/2012 13:21:55","BATCH","04/14/2026 00:00:00","PVS_XP_2079","002","9","A","20121127","20121203","その他"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:26","BATCH","04/14/2026 00:00:00","PVS_XP_2079","002","1","A","20130215","20130218","一般"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:26","BATCH","04/14/2026 00:00:00","PVS_XP_2079","002","2","A","20130215","20130218","精神"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:26","BATCH","04/14/2026 00:00:00","PVS_XP_2079","002","3","A","20130215","20130218","結核"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:26","BATCH","04/14/2026 00:00:00","PVS_XP_2079","002","4","A","20130215","20130218","ハンセン"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:26","BATCH","04/14/2026 00:00:00","PVS_XP_2079","002","5","A","20130215","20130218","伝染"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:26","BATCH","04/14/2026 00:00:00","PVS_XP_2079","002","6","A","20130215","20130218","歯科"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:26","BATCH","04/14/2026 00:00:00","PVS_XP_2079","002","7","A","20130215","20130218","診療所"
"02/18/2013 00:00:00","12/31/9999 00:00:00","False","Batch","02/16/2013 06:11:26","BATCH","04/14/2026 00:00:00","PVS_XP_2079","002","9","A","20130215","20130218","その他"
