"TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Meisho_KBN","Meisho_CD","Meisho_KJ","YobiKomoku_1","YobiKomoku_2","YobiKomoku_3","YobiKomoku_4","YobiKomoku_5","Biko"
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0001"," ","変更","","","","","","前回納品から今回納品までに何らかのアイテムに変更があったデータ"
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0001","1","追加","","","","","","前回納品から今回納品までに追加されたデータ"
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0001","2","削除","","","","","","前回納品から今回納品までに削除されたデータ"
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0001","PVZ_U0001","予備／追加削除区分","","","","","","親子関係があるファイルの子ファイルに於けるデータ更新内容"
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0002","1","ケアミックス","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0002","2","全床療養","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0002","9","不明","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0002","PVZ_U0002","ケアミックス区分","","","","","","当該施設がケアミックス等を表す区分がセットされる。療養型病床群にフラグありの場合にのみセットされる。"
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0003","1","完全型","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0003","2","移行型","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0003","3","完全型・移行型","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0003","9","不明","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0003","PVZ_U0003","完全型・移行型区分","","","","","","当該施設の療養型病床群が完全型か移行型かを表す区分がセットされる。"
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0004"," ","先進医療Ａ（旧：先進医療承認技術）","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0004","1","保険適用された為、先進医療より外れた技術","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0004","2","有用性なしと認められた為、先進医療より外れた技術","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0004","3","実施施設からの辞退（申請）により先進医療より外れた技術","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0004","4","再編された技術","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0004","5","先進医療Ｂ（旧：高度医療技術）","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0004","8","その他理由により先進医療より外れた技術","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0004","9","当社にて誤って重複してコード設定したもの","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0004","PVZ_U0004","先進医療区分","","","","","","先進医療実施医療機関１～４０（コード３桁＋区分１桁）。区分は先進医療技術より外れた場合（保険適用化、技術の再編等）及び高度医療技術の場合にセットされ、通常の先進医療技術の場合はスペースがセットされる。"
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0005","1","ナショナルセンター","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0005","2","高度専門医療施設","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0005","3","全国災害医療病院","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0005","4","広域災害拠点病院","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0005","5","基幹医療施設","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0005","6","防災拠点国立病院","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0005","7","専門医療施設","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0005","8","地方拠点病院","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0005","9","不明","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0005","PVZ_U0005","政策医療区分","","","","","","当該分野での役割りが区分１桁でセットされる"
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0006","P","看護種別区分","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0006","PVZ_U0006","看護種別区分","","","","","","看護種別区分 現在未使用"
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0007"," ","外総診の取得・取消なし","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0007","1","外総診を取得している","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0007","2","外総診を一度取得したが辞退した","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0007","3","外総診を再度取得した","","","","","",""
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0007","PVZ_U0007","外総診_フラグ","","","","","","外総診（外来総合診療料）につきましては、平成14年9月30日をもって制度上廃止となりました。廃止から10年近くが経過した為、平成25年2月の当社次期システムへの移行を機に、外総診のデータ部分はブランクとなります。"
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0008","A","新規","","","","","","前回納品から今回納品までに新規登録されたデータ"
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0008","B","変更","","","","","","前回納品から今回納品までに何らかのアイテムの変更があったデータ"
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0008","C","削除","","","","","","前回納品から今回納品までに削除されたデータ"
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0008","PVZ_U0008","修正区分","","","","","","データの新規、変更、削除を表す区分"
"06/13/2013 00:00:00","12/31/9999 00:00:00","False","itg02109","06/14/2013 00:00:00","BATCH","04/14/2026 00:00:00","PVS_XP_2096","PVZ_U0009","1","廃院（ＴＥＬ確認済み）","","","","","","施設直接電話で廃院の確認がとれた"
