"Jujisha_CD","Item_KBN","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","AtaiZokusei_KBN","ChrValue","NumValue","Komoku_KJ","Zokusei_KJ","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Shinseisha_ID","Shinsei_DT","HUB_Sakuseisha_ID","HUB_Sakusei_DT","HUB_Koshinsha_ID","HUB_Koshin_DT","HUB_KoshinProgram_ID"
"00000153","PVT_ZJ0001","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","2","0.000","クリニシアン配布先区分","","syoki iko","01/01/1900 00:00:00","syoki iko","02/08/2013 12:34:56","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
"00000153","PVT_ZJ0002","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","090400","0.000","クリニシアン配布先施設","","syoki iko","01/01/1900 00:00:00","syoki iko","02/08/2013 12:34:56","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
"00000253","PVT_ZJ0001","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","2","0.000","クリニシアン配布先区分","","syoki iko","01/01/1900 00:00:00","syoki iko","02/08/2013 12:34:56","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
"00000253","PVT_ZJ0002","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","122175","0.000","クリニシアン配布先施設","","syoki iko","01/01/1900 00:00:00","syoki iko","02/08/2013 12:34:56","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
"00000269","PVT_ZJ0001","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","2","0.000","クリニシアン配布先区分","","i08259","10/28/2013 13:19:37","i08259","10/28/2013 13:19:37","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
"00000269","PVT_ZJ0002","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","504438","0.000","クリニシアン配布先施設","","i08259","10/28/2013 13:19:37","i08259","10/28/2013 13:19:37","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
"00000512","PVT_ZJ0001","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","1","0.000","クリニシアン配布先区分","","syoki iko","01/01/1900 00:00:00","syoki iko","02/08/2013 12:34:56","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
"00000520","PVT_ZJ0001","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","2","0.000","クリニシアン配布先区分","","i08259","11/22/2013 14:41:49","i08259","11/22/2013 14:41:49","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
"00000520","PVT_ZJ0002","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","092276","0.000","クリニシアン配布先施設","","i08259","11/22/2013 14:41:49","i08259","11/22/2013 14:41:49","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
"00000550","PVT_ZJ0001","01/01/2013 00:00:00","12/31/9999 00:00:00","False","0","2","0.000","クリニシアン配布先区分","","syoki iko","01/01/1900 00:00:00","syoki iko","02/08/2013 12:34:56","PVT_XP_4080","JUJI_BATCH","04/13/2026 22:52:15","BATCH","04/13/2026 22:52:25","BATCH","04/13/2026 22:52:25","PVT_XP_4051"
