"Jujisha_CD","Shisetsu_CD","Item_KBN","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","AtaiZokusei_KBN","ChrValue","NumValue","Komoku_KJ","Zokusei_KJ","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Shinseisha_ID","Shinsei_DT","HUB_Sakuseisha_ID","HUB_Sakusei_DT","HUB_Koshinsha_ID","HUB_Koshin_DT","HUB_KoshinProgram_ID"
"00869923","030454","PVT_ZK0004","02/03/2015 00:00:00","02/24/2019 00:00:00","False","0","1","0.000","日本精神科診療所協会会員","","itg34781","02/03/2015 00:00:00","itg04213","02/15/2019 11:03:01","A04G3566","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
"00869973","220603","PVT_ZK0002","02/03/2015 00:00:00","05/06/2020 00:00:00","False","0","1","0.000","老年精神医学会会員","","itg34781","02/03/2015 00:00:00","ITSP","05/07/2020 00:00:00","","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
"00869973","222826","PVT_ZK0003","02/03/2015 00:00:00","02/24/2019 00:00:00","False","0","1","0.000","日精協会員","","itg34781","02/03/2015 00:00:00","itg04213","02/15/2019 11:17:03","A04G3566","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
"00870186","301974","PVT_ZK0001","02/03/2015 00:00:00","05/06/2020 00:00:00","False","0","1","0.000","日本認知症学会会員","","itg34781","02/03/2015 00:00:00","ITSP","05/07/2020 00:00:00","","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
"00870194","121532","PVT_ZK0001","02/03/2015 00:00:00","05/06/2020 00:00:00","False","0","1","0.000","日本認知症学会会員","","itg34781","02/03/2015 00:00:00","ITSP","05/07/2020 00:00:00","","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
"00870203","121532","PVT_ZK0001","02/03/2015 00:00:00","05/06/2020 00:00:00","False","0","1","0.000","日本認知症学会会員","","itg34781","02/03/2015 00:00:00","ITSP","05/07/2020 00:00:00","","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
"00870220","196978","PVT_ZK0003","02/03/2015 00:00:00","02/24/2019 00:00:00","False","0","1","0.000","日精協会員","","itg34781","02/03/2015 00:00:00","itg04213","02/15/2019 11:17:03","A04G3566","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
"00870936","127284","PVT_ZK0002","02/03/2015 00:00:00","05/06/2020 00:00:00","False","0","1","0.000","老年精神医学会会員","","itg34781","02/03/2015 00:00:00","ITSP","05/07/2020 00:00:00","","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
"00870945","127621","PVT_ZK0001","02/03/2015 00:00:00","05/06/2020 00:00:00","False","0","1","0.000","日本認知症学会会員","","itg34781","02/03/2015 00:00:00","ITSP","05/07/2020 00:00:00","","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
"00871091","135926","PVT_ZK0003","02/03/2015 00:00:00","02/24/2019 00:00:00","False","0","1","0.000","日精協会員","","itg34781","02/03/2015 00:00:00","itg04213","02/15/2019 11:17:03","A04G3566","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
"00871094","505948","PVT_ZK0004","02/03/2015 00:00:00","02/24/2019 00:00:00","False","0","1","0.000","日本精神科診療所協会会員","","itg34781","02/03/2015 00:00:00","itg04213","02/15/2019 11:03:01","A04G3566","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
"00871415","150583","PVT_ZK0004","02/03/2015 00:00:00","02/24/2019 00:00:00","False","0","1","0.000","日本精神科診療所協会会員","","itg34781","02/03/2015 00:00:00","itg04213","02/15/2019 11:03:01","A04G3566","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
"00871468","406887","PVT_ZK0002","02/03/2015 00:00:00","05/06/2020 00:00:00","False","0","1","0.000","老年精神医学会会員","","itg34781","02/03/2015 00:00:00","ITSP","05/07/2020 00:00:00","","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
"00871468","406887","PVT_ZK0003","02/03/2015 00:00:00","02/24/2019 00:00:00","False","0","1","0.000","日精協会員","","itg34781","02/03/2015 00:00:00","itg04213","02/15/2019 11:17:03","A04G3566","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
"00871479","212177","PVT_ZK0003","02/03/2015 00:00:00","02/24/2019 00:00:00","False","0","1","0.000","日精協会員","","itg34781","02/03/2015 00:00:00","itg04213","02/15/2019 11:17:03","A04G3566","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
"00871527","406888","PVT_ZK0003","02/03/2015 00:00:00","02/24/2019 00:00:00","False","0","1","0.000","日精協会員","","itg34781","02/03/2015 00:00:00","itg04213","02/15/2019 11:17:03","A04G3566","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
"00871571","303753","PVT_ZK0001","02/03/2015 00:00:00","05/06/2020 00:00:00","False","0","1","0.000","日本認知症学会会員","","itg34781","02/03/2015 00:00:00","ITSP","05/07/2020 00:00:00","","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
"00871698","060830","PVT_ZK0003","02/03/2015 00:00:00","02/24/2019 00:00:00","False","0","1","0.000","日精協会員","","itg34781","02/03/2015 00:00:00","itg04213","02/15/2019 11:17:03","A04G3566","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
"00871740","307537","PVT_ZK0004","02/03/2015 00:00:00","02/24/2019 00:00:00","False","0","1","0.000","日本精神科診療所協会会員","","itg34781","02/03/2015 00:00:00","itg04213","02/15/2019 11:03:01","A04G3566","15IKOU","02/03/2015 00:00:00","BATCH","04/13/2026 22:52:33","BATCH","04/13/2026 22:52:33","PVT_XP_4053"
