"Dairiten_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DaihyoDairi_CD","Dairiten_NG","Blockdairi_CD","IchijiDairi_CD","SalsTokei_KBN","SitnDirtn_FLG","DaiSeisak_KBN","PrintI_CTL","PrintYK_CTL","Keikakutani_FLG","DairitenKenkei_KBN","RyutuBuin_CD","Kurini_FLG"
"01001","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg39895","09/16/2025 14:52:46","PVU_EX_1400","itg39895","09/16/2025 14:52:46","PVU_EX_1400","23048","（株）スズケン愛生舘営業部","01001","","3","3","3","001","001","5","","ecl08969","1"
"01003","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg39895","09/16/2025 14:04:48","PVU_EX_1400","itg39895","09/16/2025 14:04:48","PVU_EX_1400","13015","東邦薬品（株）北海道営業部","","","1","1","1","005","","1","","ecl08969","1"
"01005","10/13/2022 00:00:00","12/31/9999 00:00:00","0","itg04213","04/24/2018 13:37:16","PVU_EX_1400","itg04213","04/24/2018 13:37:16","PVU_EX_1400","01005","（株）モロオ","01005","","3","3","3","003","003","1","","ecl08969","1"
"01020","04/05/2022 00:00:00","12/31/9999 00:00:00","0","itg19647","04/05/2022 15:50:06","PVU_EX_1400","itg19647","04/05/2022 15:50:06","PVU_EX_1400","01020","（株）ほくやく","01020","","3","3","3","004","006","1","","ecl07372","1"
"01029","04/15/2020 00:00:00","12/31/9999 00:00:00","0","itg40916","10/10/2019 09:37:18","PVU_EX_1400","itg40916","10/10/2019 09:37:18","PVU_EX_1400","01029","北海道厚生連　医薬品課","01029","","1","1","3","007","","","","ecl07372","0"
"01048","01/14/2021 00:00:00","12/31/9999 00:00:00","0","itg36186","01/14/2021 15:42:49","PVU_EX_1400","itg36186","01/14/2021 15:53:23","PVU_EX_1400","13803","（株）井田両国堂　札幌店","01048","","","","3","","","","","","0"
"01049","10/09/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","03/11/2019 09:21:41","PVU_EX_1400","itg04213","03/11/2019 09:21:41","PVU_EX_1400","40035","株）リードヘルスケア北海道","01049","","2","2","3","004","006","","","","1"
"01050","10/09/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","10/09/2020 13:08:16","PVU_EX_1400","itg04213","10/09/2020 13:08:16","PVU_EX_1400","27803","（株）Ｐａｌｔａｃ北海道Ｒ","01050","","3","2","3","001","001","","","","1"
"01051","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg45886","04/03/2025 08:51:21","PVU_EX_1400","itg45886","04/03/2025 08:51:21","PVU_EX_1400","13159","メディセオ北海東北統括営業","01051","","1","1","1","","","1","","ecl10504","1"
"01053","10/01/2025 00:00:00","12/31/9999 00:00:00","0","itg04213","04/16/2025 11:45:56","PVU_EX_1400","itg04213","04/16/2025 11:45:56","PVU_EX_1400","13148","アルフレッサ（株）北海道","","","1","","3","010","","1","","","0"
