"Dairiten_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DairitenName_KJKC","DairitenName_KJ","DairitenName_KJR","DairitenName_KJK","DairitenName_KN","DairitenName_KNR","Shiten_CD","Chiku_CD","Jusho_CD","Banchi_KJ","Banchi_KN","TEL_NO","FAX_NO","DairitenKanri_KBN","Dairiten_KBN","TorihikiKaishi_DT","TorihikiChushi_DT","Toroku_DT","ChikiHokatsu_CD"
"01001","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ips00023","03/29/2018 18:50:00","803001","ips00023","03/29/2018 18:50:00","803001","（株）スズケン愛生舘営業部","（株）スズケン愛生舘営業部","スズケン愛生舘営業部","Ｓ・愛生舘","S･ｱｲｾｲｶﾝ ｴｲｷﾞﾖｳﾌﾞ","ｱｲｾｲｶﾝ","48","","","","","011-721-1161","011-704-5338","","1","19000101","","19000101",""
"01003","04/01/2013 00:00:00","12/31/9999 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","東邦薬品（株）北海道営業部","東邦薬品（株）北海道営業部","東邦薬品北海道営業部","東邦北海道","ﾄｳﾎｳﾔｸﾋﾝKK ﾎﾂｶｲﾄﾞｳ","ﾄｳﾎｳ ﾎﾂｶｲ","48","","","","","0000-00-0000","","","1","19000101","","19000101",""
"01005","04/01/2013 00:00:00","12/31/9999 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","（株）モロオ","（株）モロオ","モロオ","モロオ","KK ﾓﾛｵ","ﾓﾛｵ","48","","","","","011-618-2323","011-644-0394","","1","19000101","","19000101",""
"01020","04/05/2022 00:00:00","12/31/9999 00:00:00","0","itg19647","04/05/2022 15:50:06","PVU_EX_1400","itg19647","04/05/2022 15:50:06","PVU_EX_1400","（株）ほくやく","（株）ほくやく","（株）ほくやく","ほくやく","KK ﾎｸﾔｸ","ﾎｸﾔｸ","48","","","","","011-611-1059","011-631-5125","","1","19990401","","19910304",""
"01029","04/01/2013 00:00:00","12/31/9999 00:00:00","0","ecl07870","03/29/2018 18:50:00","803001","ecl07870","03/29/2018 18:50:00","803001","北海道厚生連　医薬品課","北海道厚生連　医薬品課","厚生連　医薬品課","厚生連（医","ﾎﾂｶｲﾄﾞｳｺｳｾｲﾚﾝ ｲﾔｸﾋﾝｶ","ｺｳｾｲﾚﾝ ｲﾔｸ","48","","","","","011-231-2111","","","1","19000101","","19000101",""
"01048","01/14/2021 00:00:00","12/31/9999 00:00:00","0","itg36186","01/14/2021 15:42:49","PVU_EX_1400","itg36186","01/14/2021 15:53:23","PVU_EX_1400","（株）井田両国堂　札幌店","（株）井田両国堂　札幌店","井田両国堂　札幌店","井田　札幌","ｲﾀﾞﾘﾖｳｺﾞｸﾄﾞｳ ｻﾂﾎﾟﾛ","ｲﾀﾞ ｻﾂﾎﾟﾛ","48","","","","","011-890-1160","011-890-1165","","3","20060901","","20060822",""
"01049","03/11/2019 00:00:00","12/31/9999 00:00:00","0","itg04213","03/11/2019 09:21:41","PVU_EX_1400","itg04213","03/11/2019 09:21:41","PVU_EX_1400","（株）リードヘルスケア北海道営業部","株）リードヘルスケア北海道","リードＨＣ北海道営業","ＲＨＣ北海","KK ﾘ-ﾄﾞﾍﾙｽｹｱﾎﾂｶｲﾄﾞｳ","ﾘ-ﾄﾞﾎﾂｶｲﾄﾞ","48","","","","","011-859-5115","011-852-1123","","1","20080201","","20080227",""
"01050","04/01/2013 00:00:00","12/31/9999 00:00:00","0","ecl05053","03/29/2018 18:50:00","803001","ecl05053","03/29/2018 18:50:00","803001","（株）Ｐａｌｔａｃ北海道Ｒ","（株）Ｐａｌｔａｃ北海道Ｒ","Ｐａｌｔａｃ北海道Ｒ","ＰＴ北海道","ﾊﾟﾙﾀﾂｸKSﾎﾂｶｲﾄﾞﾄﾞｳ","PTﾎﾂｶｲﾄﾄﾞｳ","48","","","","","011-377-1313","011-377-1255","","1","20090310","","20090310",""
"01051","04/03/2025 00:00:00","12/31/9999 00:00:00","0","itg45886","04/03/2025 08:51:21","PVU_EX_1400","itg45886","04/03/2025 08:51:21","PVU_EX_1400","（株）メディセオ北海道東北統括営業部","メディセオ北海東北統括営業","メディセオ北海東北","ＭＣ北海東","ﾒﾃﾞｲｾｵ ﾎﾂｶｲﾄｳﾎｸ ﾄｳｶﾂ","MCﾎﾂｶｲﾄｳﾎｸ","48","","","","","011-210-8761","011-210-8770","","1","20091001","","20090917",""
"01053","07/01/2018 00:00:00","12/31/9999 00:00:00","0","itg04213","06/22/2018 14:50:41","PVU_EX_1400","itg04213","06/22/2018 14:50:41","PVU_EX_1400","アルフレッサ（株）北海道","アルフレッサ（株）北海道","アルフレッサ北海道","ＡＦ北海道","ｱﾙﾌﾚﾂｻ ﾎﾂｶｲﾄﾞｳ","AF ﾎﾂｶｲﾄﾞｳ","48","","","","","0000-00-0000","","","1","20110215","","20110128",""
"01888","04/01/2013 00:00:00","12/31/9999 00:00:00","0","ips00015","03/29/2018 18:50:00","803001","ips00015","03/29/2018 18:50:00","803001","北海道の代理店","北海道の代理店","北海道の代理店","北・代理店","ﾎﾂｶｲﾄﾞｳﾉ ﾀﾞｲﾘﾃﾝ","ﾎﾂｶｲﾄﾞｳ","48","","","","","0000-00-0000","","","9","19000101","","19000101",""
"01889","04/01/2013 00:00:00","12/31/9999 00:00:00","0","","03/29/2018 18:50:00","803001","","03/29/2018 18:50:00","803001","北海道の代理店","北海道の代理店","北海道の代理店","北・代理店","ﾎﾂｶｲﾄﾞｳﾉ ﾀﾞｲﾘﾃﾝ","ﾎﾂｶｲﾄﾞｳ","48","","","","","0000-00-0000","","","9","19000101","","19000101",""
"02001","04/01/2016 00:00:00","12/31/9999 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","（株）アスカム青森支店","（株）アスカム青森支店","アスカム青森支店","ＡＣ青森","KKｱｽｶﾑ ｱｵﾓﾘｼﾃﾝ","ACｱｵﾓﾘ","48","","","","","0000-00-0000","","","1","19000101","","19000101",""
