"DairitenTK_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DairitenTK_Name_KJKC","DairitenTK_Name_KJ","DairitenTK_Name_KJR","DairitenTK_Name_KJK","DairitenTK_Name_KN","DairitenTK_Name_KNR","Yubinbango","Jusho_CD","Jusho_KJ","TEL_NO","FAX_NO","DairitenTK_KBN","DairitenTK_Seisaku_KBN","Nijiten_KBN","Keikakutani_FLG","PrintI_CTL","PrintYK_CTL","TorihikiKaishi_DT","TorihikiChushi_DT","Toroku_DT","agency_cd"
"06010","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 11:58:16","PVU_EX_1400","itg43581","04/15/2024 11:58:16","PVU_EX_1400","（株）バイタルネット山形","（株）バイタルネット山形","バイタルネット山形","ＶＮ山形","(ｶﾌﾞ)ﾊﾞｲﾀﾙﾈﾂﾄ ﾔﾏｶﾞﾀ","VNﾔﾏｶﾞﾀ","990-0000","06201","山形県山形市","0000-00-0000","","1","3","","5","115","001","20010101","","19990610","04041"
"06014","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 11:58:41","PVU_EX_1400","itg43581","04/15/2024 11:58:41","PVU_EX_1400","（株）スズケン山形営業部","（株）スズケン山形営業部","スズケン山形営業部","Ｓ・山形","KKｽｽﾞｹﾝﾔﾏｶﾞﾀｴｲｷﾞﾖｳﾌﾞ","SZﾔﾏｶﾞﾀ","990-0071","06201","山形県山形市流通センター３丁目１３－４","023-627-6711","023-634-0281","1","3","","1","254","","20011101","","20011029","23049"
"06015","04/15/2024 00:00:00","03/31/2026 00:00:00","0","itg43581","04/15/2024 11:59:14","PVU_EX_1400","itg43581","04/15/2024 11:59:14","PVU_EX_1400","東北アルフレッサ（株）山形","東北アルフレッサ（株）山形","東北アルフレッサ山形","東北Ａ山形","ﾄｳﾎｸｱﾙﾌﾚﾂｻ ﾔﾏｶﾞﾀ","ﾄｳﾎｸAﾔﾏｶﾞﾀ","990-2251","06201","山形県山形市立谷川２丁目４８５　－１４","0000-00-0000","","1","3","","5","305","030","20081001","","20080918","13149"
"08095","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 12:05:02","PVU_EX_1400","itg43581","04/15/2024 12:05:02","PVU_EX_1400","東邦薬品（株）茨城営業部","東邦薬品（株）茨城営業部","東邦薬品茨城営業部","東邦茨城","ﾄｳﾎｳﾔｸﾋﾝｲﾊﾞﾗｷﾞｴｲｷﾞﾖｳ","ﾄｳﾎｳｲﾊﾞﾗｷﾞ","300-0051","08203","茨城県土浦市真鍋２丁目　真鍋２－２－２７","0298-22-0821","0298-22-0831","1","3","","1","203","","20131001","","20131001","13013"
"08504","04/15/2024 00:00:00","03/31/2026 00:00:00","0","itg43581","04/15/2024 12:06:07","PVU_EX_1400","itg43581","04/15/2024 12:06:07","PVU_EX_1400","アルフレッサ（株）茨城","アルフレッサ（株）茨城","アルフレッサ茨城","ＡＦ茨城","ｱﾙﾌﾚﾂｻ ｲﾊﾞﾗｷ","AF ｲﾊﾞﾗｷ","300-0841","08203","茨城県土浦市中　字中道８３４番地３","0000-00-0000","","1","3","","5","201","","19000101","","19000101","13149"
"40083","04/15/2024 00:00:00","03/31/2026 00:00:00","0","itg41755","04/15/2024 13:10:51","PVU_EX_1400","itg41755","04/15/2024 13:10:51","PVU_EX_1400","アルフレッサ（株）九州","アルフレッサ（株）九州","アルフレッサ九州","ＡＦ九州","ｱﾙﾌﾚﾂｻｷﾕｳｼﾕｳ","KK ｱﾙﾌﾚﾂｻｷ","812-0041","40132","福岡県福岡市博多区吉塚４丁目１１－３２","092-626-9011","092-626-9019","1","3","","1","950","160","20080101","","20080317","13149"
"09016","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg43581","04/15/2024 13:16:29","PVU_EX_1400","itg43581","04/15/2024 13:16:29","PVU_EX_1400","東邦薬品（株）薬粧事業部","東邦薬品（株）薬粧事業部","東邦薬品薬粧事業部","東邦薬粧","ﾄｳﾎｳﾔｸﾋﾝ ﾔｸｼﾖｳｼﾞｷﾞﾖｳ","ﾄｳﾎｳﾔｸｼﾖｳ","321-0911","09201","栃木県宇都宮市問屋町３４１３－５２","028-657-8070","028-657-8062","1","3","","","995","004","20081001","","20090310","13013"
"28022","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg41755","04/15/2024 13:22:32","PVU_EX_1400","itg41755","04/15/2024 13:22:32","PVU_EX_1400","（株）スズケン兵庫営業部","（株）スズケン兵庫営業部","スズケン兵庫営業部","Ｓ・兵庫","KK ｽｽﾞｹﾝ ﾋﾖｳｺﾞｴｲｷﾞﾖｳ","ｽｽﾞｹﾝﾋﾖｳｺﾞ","650-0045","28110","兵庫県神戸市中央区港島１丁目４　－２","0000-00-0000","","1","3","","5","383","","19990401","","19990309","23049"
"13162","04/15/2024 00:00:00","03/31/2026 00:00:00","0","itg43581","04/15/2024 13:22:34","PVU_EX_1400","itg43581","04/15/2024 13:22:34","PVU_EX_1400","（株）メディセオ首都圏","（株）メディセオ首都圏","メディセオ首都圏","ＭＣ首都圏","ﾒﾃﾞｲｾｵ ｼﾕﾄｹﾝｸﾞﾙ-ﾌﾟ","MCｼﾕﾄｹﾝ","101-0021","13101","東京都千代田区外神田３丁目３－３　―６","0000-00-0000","","1","3","","1","","","20091001","","20091001","28026"
"27086","04/15/2024 00:00:00","12/31/9999 00:00:00","0","itg41755","04/15/2024 13:23:09","PVU_EX_1400","itg41755","04/15/2024 13:23:09","PVU_EX_1400","東邦薬品（株）大阪営業部","東邦薬品（株）大阪営業部","東邦薬品大阪営業部","東邦大阪","ﾄｳﾎｳ KK ｵｵｻｶｴｲｷﾞﾖｳﾌﾞ","ﾄｳﾎｳｵｵｻｶ","557-0022","27122","大阪府大阪市西成区中開３丁目６－２９","06-4392-5611","","1","3","","1","371","","19000101","","19000101","13013"
