"Joi_DairitenTK_CD","DairitenTK_Kaiso_KBN","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DairitenTokeiName_KJKC","DairitenTokeiName_KJ","DairitenTokeiName_KJR","DairitenTokeiName_KJK","DairitenTokeiName_KN","DairitenTokeiName_KNR"
"01001","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","愛生舘ブロック","愛生舘ブロック","愛生舘ブ","愛生","ｱｲｾｲｶﾝﾌﾞﾛﾂｸ","ｱｲｾｲｶﾝﾌﾞ"
"01005","PVU_K0001","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","（株）モロオ","（株）モロオ","モロオ","モロオ","KK ﾓﾛｵ","ﾓﾛｵ"
"01005","PVU_K0003","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","（株）モロオ","（株）モロオ","モロオ","モロオ","KK ﾓﾛｵ","ﾓﾛｵ"
"01005","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","（株）モロオ","（株）モロオ","モロオ","モロオ","KK ﾓﾛｵ","ﾓﾛｵ"
"01020","PVU_K0001","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","株式会社　ほくやく","株式会社　ほくやく","ほくやく","ほくやく","KK ﾎｸﾔｸ","ﾎｸﾔｸ"
"01020","PVU_K0003","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","株式会社　ほくやく","株式会社　ほくやく","ほくやく","ほくやく","KK ﾎｸﾔｸ","ﾎｸﾔｸ"
"01020","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","株式会社　ほくやく","株式会社　ほくやく","ほくやく","ほくやく","KK ﾎｸﾔｸ","ﾎｸﾔｸ"
"01029","PVU_K0001","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","北海道厚生連　医薬品課","北海道厚生連　医薬品課","厚生連　医薬品課","厚生連（医","ﾎﾂｶｲﾄﾞｳｺｳｾｲﾚﾝ ｲﾔｸﾋﾝｶ","ｺｳｾｲﾚﾝ ｲﾔｸ"
"01029","PVU_K0003","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","北海道厚生連　医薬品課","北海道厚生連　医薬品課","厚生連　医薬品課","厚生連（医","ﾎﾂｶｲﾄﾞｳｺｳｾｲﾚﾝ ｲﾔｸﾋﾝｶ","ｺｳｾｲﾚﾝ ｲﾔｸ"
"01029","PVU_K0004","01/01/2000 00:00:00","12/31/9999 00:00:00","0","IKOU-KUN","03/29/2018 20:43:37","IKOU-STP","IKOU-SAN","03/29/2018 20:43:37","IKOU-CYAN","北海道厚生連　医薬品課","北海道厚生連　医薬品課","厚生連　医薬品課","厚生連（医","ﾎﾂｶｲﾄﾞｳｺｳｾｲﾚﾝ ｲﾔｸﾋﾝｶ","ｺｳｾｲﾚﾝ ｲﾔｸ"
