"DairitenTK_CD","Corp_ID","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","RyutsuSoshiki_CD","RyutsuBuin_CD","SalsTokei_KBN","Hosho_FLG","DairitenTokeiShitei_FLG"
"01001","ECL","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","01","07086","3","1","3"
"01001","ECL","04/01/2013 00:00:00","10/31/2016 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","48","07086","3","1","3"
"01001","ECL","11/01/2016 00:00:00","10/09/2019 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","48","08164","3","1","3"
"01003","ECL","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","01","03659","1","1","1"
"01003","ECL","04/01/2013 00:00:00","10/31/2016 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","48","03659","1","1","1"
"01003","ECL","11/01/2016 00:00:00","04/19/2018 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","48","05245","1","1","1"
"01005","ECL","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","01","03659","3","1","3"
"01005","ECL","04/01/2013 00:00:00","10/31/2016 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","48","03659","3","1","3"
"01005","ECL","11/01/2016 00:00:00","04/23/2018 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","48","05245","3","1","3"
"01020","ECL","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecl04960","03/29/2018 18:50:00","803001","ecl04960","03/29/2018 18:50:00","803001","01","07086","3","1","3"
"01020","ECL","04/01/2013 00:00:00","10/31/2016 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","48","07086","3","1","3"
"01020","ECL","11/01/2016 00:00:00","10/09/2019 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","48","08164","3","1","3"
"01029","ECL","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecl07870","03/29/2018 18:50:00","803001","ecl07870","03/29/2018 18:50:00","803001","01","06341","1","0","1"
"01029","ECL","04/01/2013 00:00:00","10/31/2016 00:00:00","0","ecl07870","03/29/2018 18:50:00","803001","ecl07870","03/29/2018 18:50:00","803001","48","06341","1","0","1"
"01029","ECL","11/01/2016 00:00:00","10/09/2019 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","48","08164","1","0","1"
"01048","ECL","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecl04960    ","03/29/2018 18:50:00","803001","ecl04960    ","03/29/2018 18:50:00","803001","01","05317","","0",""
"01048","ECL","04/01/2013 00:00:00","10/08/2020 00:00:00","0","ecl04960    ","03/29/2018 18:50:00","803001","ecl04960    ","03/29/2018 18:50:00","803001","48","05317","","0",""
"01049","ECL","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","01","05683","2","1","2"
"01049","ECL","04/01/2013 00:00:00","05/31/2014 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","48","05683","2","1","2"
"01049","ECL","06/01/2014 00:00:00","10/08/2020 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","48","05119","2","1","2"
"01050","ECL","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecl05053","03/29/2018 18:50:00","803001","ecl05053","03/29/2018 18:50:00","803001","01","05496","3","1","2"
"01050","ECL","04/01/2013 00:00:00","11/30/2013 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","48","05496","3","1","2"
"01050","ECL","12/01/2013 00:00:00","05/31/2014 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","48","05683","3","1","2"
"01050","ECL","06/01/2014 00:00:00","10/08/2020 00:00:00","0","ecl04321","03/29/2018 18:50:00","803001","ecl04321","03/29/2018 18:50:00","803001","48","05119","3","1","2"
"01051","ECL","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecld0918","03/29/2018 18:50:00","803001","ecld0918","03/29/2018 18:50:00","803001","01","06341","1","1","1"
"01051","ECL","04/01/2013 00:00:00","10/31/2016 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","48","06341","1","1","1"
"01051","ECL","11/01/2016 00:00:00","04/19/2018 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","48","08164","1","1","1"
"01053","ECL","01/01/2000 00:00:00","03/31/2013 00:00:00","0","ecl02796","03/29/2018 18:50:00","803001","ecl02796","03/29/2018 18:50:00","803001","01","03659","1","0",""
"01053","ECL","04/01/2013 00:00:00","10/31/2016 00:00:00","0","ecl02796","03/29/2018 18:50:00","803001","ecl02796","03/29/2018 18:50:00","803001","48","03659","1","0",""
"01053","ECL","11/01/2016 00:00:00","04/19/2018 00:00:00","0","ecl07868","03/29/2018 18:50:00","803001","ecl07868","03/29/2018 18:50:00","803001","48","05245","1","0",""
