"EisaiOroshi_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","KeishoMotoRecord_KEY","KeishoSakiRecord_KEY","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Oroshi_KJ","OroshiSoshikiCode_LEN","OroshiSoshikiCode_E_LEN","OroshiSoshikiCode_PTN","OroshiKaiso_PTN","DaihyoDairiten_CD","JD_NET_FLG","PLANET_FLG","KobetsuNET_FLG","Medicode_FLG","Kain_ID_Prefix","NnskCyofuku_LVL"
"1","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","（株）モロオ","4","4","1234","31","01005","1","0","0","1","MM","0"
"2","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","株式会社　ほくやく","2","2","12","2","01020","1","0","0","1","MM","0"
"3","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","北海道厚生連　医薬品課","3","3","123","3","01029","0","0","0","0","MM","0"
"4","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","（株）小田島","7","7","1234567","2113","03002","0","0","0","1","MM","0"
"5","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","（株）バイタルネット宮城","6","5","23456","132","04001","1","0","0","1","MM","0"
"6","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","純正化学メディカル事業所","1","1","1","1","04019","0","0","0","0","MM","0"
"7","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","小泉薬品（株）","1","1","1","1","04020","0","0","0","0","MM","0"
"8","09/30/2013 00:00:00","12/31/9999 00:00:00","0","0","0","IPS00023","04/04/2013 17:00:00","PATCH","IPS00011","09/27/2013 17:00:00","IPSPATCH","（株）リードＨＣ　新東北","10","10","123456789a","2242","04050","0","0","0","0","MM","0"
"10","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","ナカノ薬品（株）","9","3","789","333","09003","1","0","0","1","MM","0"
"13","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:42:38","CTOOL","PVUDC","01/12/2013 23:42:38","CTOOL","岩渕薬品（株）","2","2","12","2","12001","1","0","0","1","MM","0"
