"EisaiOroshiSoshiki_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","KeishoMotoRecord_KEY","KeishoSakiRecord_KEY","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","EisaiOroshi_CD","OroshiSoshikiKaiso_LEVEL","OroshiSoshikiCode_FULL","OroshiSoshikiName_FULL","OroshiSoshikiCode_PART","OroshiSoshikiName_PART","OroshiSoshikiBottom_FLG","TEL_NO","Jusho_CD","ZIP_CD","Jusho_KJ","Data_Status"
"1","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","001","本社","001","本社","0","","","","","0"
"2","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:43:41","CTOOL","PVUDC","01/12/2013 23:43:41","CTOOL","1","2","001X","本社","X","本社","1","","","","","1"
"3","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","020","恵庭","020","恵庭","0","","","","","0"
"4","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","0200","恵庭／医家向","0","医家向","1","","","","","0"
"5","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","0209","恵庭／その他","9","その他","1","","","","","0"
"6","01/09/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/09/2014 16:52:48","PVU-1010","itg34676","01/09/2014 16:52:48","PVU-1010","1","1","051","（廃止）","051","（廃止）","0","","","","","0"
"7","01/09/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/09/2014 16:52:48","PVU-1010","itg34676","01/09/2014 16:52:48","PVU-1010","1","2","051X","（廃止）／道央第一エリア","X","道央第一エリア","1","","","","","0"
"8","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","052","ヘルスケア","052","ヘルスケア","0","","","","","0"
"9","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","2","0520","ヘルスケア／医家向","0","医家向","1","","","","","0"
"10","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","1","1","070","札幌豊平","070","札幌豊平","0","","","","","0"
