"EisaiOroshiSoshiki_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","KeishoMotoRecord_KEY","KeishoSakiRecord_KEY","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","OroshiSoshikiCode_ECONV","EisaiShishoka_ID","Data_Status"
"1","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
"2","01/01/2000 00:00:00","12/31/9999 00:00:00","0","0","0","PVUDC","01/12/2013 23:43:41","CTOOL","itg39895","10/09/2025 11:24:37","PVU_XP_1302","001X","498","0"
"3","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
"4","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","0200","482","0"
"5","01/11/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","0209","482","0"
"6","01/09/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/09/2014 16:52:48","PVU-1010","itg34676","01/09/2014 16:52:48","PVU-1010","051","0","0"
"7","01/09/2014 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","01/09/2014 16:52:48","PVU-1010","itg39895","10/09/2025 11:24:37","PVU_XP_1302","051X","495","0"
"8","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg19647","01/11/2018 10:48:57","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
"9","01/18/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","01/09/2018 09:28:32","PVU-1030","itg39895","10/09/2025 11:24:37","PVU_XP_1302","0520","495","0"
"10","11/29/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg39895","09/25/2017 14:31:54","PVU-1010","itg39895","10/11/2023 15:14:22","PVU_XP_1102","","0","0"
