"EisaiShishoka_ID","TekiyoKaishi_DT","TekiyoShuryo_DT","KeishoMotoRecord_KEY","KeishoSakiRecord_KEY","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","DaihyoDairiten_CD","JissekiShukeiKaiso","KozaDairiten_CD","Shishoka_CD","JissekiShukeiName_KJ","JissekiShukeiName_RKJ","JissekiShukeiName_KN","Jusho_CD","Jusho_KJ","Jusho_KJ_Clean","JushoBanchi_KJ","JushoBanchi_KN","TEL_NO","JissekiShukeiPrint_CD","ShiryoHaisoSaki_CD","HansokuShiten_CD","KuriniKai_KBN","KuriniKaiHenko_FLG","IyakuSo_KBN","Oncology_Mitoroku_Site","Hokatu_Mitoroku_Site","I_MitorokuShiten_CD","Yaku_MitorokuShiten_CD","Data_Status"
"1","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","03/29/2018 18:50:00","803001","itg45886","03/26/2026 16:24:38","PVU_XP_1302","04001","0000000000","03019","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝ ｹｲ","03000","岩手県","","","","","900","","48","","","3","69","69","","16","10"
"2","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","03/29/2018 18:50:00","803001","itg45886","03/26/2026 16:24:38","PVU_XP_1302","04001","0000001000","03019","000","岩手営業部","岩手営業部","ｲﾜﾃｹｴｲｷﾞﾖｳﾌﾞ","03322","岩手県紫波郡矢巾町","","","","","850","","48","","","3","69","69","","16","10"
"4","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","03/29/2018 18:50:00","803001","itg45886","03/27/2026 14:52:08","PVU_XP_1302","23009","0000000000","03005","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝｹｲ","03000","岩手県","","","","","000","","48","","","1","69","69","","16","10"
"5","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg36186","03/29/2018 18:50:00","803001","itg45886","03/27/2026 14:52:08","PVU_XP_1302","23009","0000001000","03005","000","岩手県","岩手","ｲﾜﾃｹﾝｹｲ","03201","岩手県盛岡市上堂４丁目","","","","","400","","48","","","3","69","69","","16","10"
"6","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","03/29/2018 18:50:00","803001","itg45886","03/26/2026 16:24:38","PVU_XP_1302","04001","0000000000","04001","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝ ｹｲ","04000","宮城県","","","","","700","","48","","","3","69","69","","16","10"
"7","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","03/29/2018 18:50:00","803001","itg45886","03/26/2026 16:24:38","PVU_XP_1302","04001","0000001000","04001","000","宮城営業部","宮城営業部","ﾐﾔｷﾞｴｲｷﾞﾖｳﾌﾞ","04100","宮城県仙台市","","","","","600","","48","","","3","69","69","","16","10"
"34","10/04/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg09704","03/29/2018 18:50:00","803001","itg36186","10/04/2018 08:28:19","PVU_XP_1302","13149","0000000000","03002","000","代理店計（廃止）","代理店計廃","ﾀﾞｲﾘﾃﾝｹｲ(ﾊｲｼ)","03000000000","岩手県","","","","","999","","48","X","","3","69","69","","16","12"
"38","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg36979","03/29/2018 18:50:00","803001","itg45886","03/26/2026 16:24:38","PVU_XP_1302","04001","0000001000","02018","000","青森営業部","青森営業部","ｱｵﾓﾘｴｲｷﾞﾖｳﾌﾞ","02201","青森県青森市","","","","","190","","48","","","3","69","69","","16","10"
"39","01/09/2024 00:00:00","12/31/9999 00:00:00","0","0","0","itg34676","03/29/2018 18:50:00","803001","itg45886","03/26/2026 16:24:38","PVU_XP_1302","04001","0000000000","02018","000","代理店計","代理店計","ﾀﾞｲﾘﾃﾝ ｹﾝ","02000","青森県","","","","","200","","48","","","3","69","69","","16","10"
"40","10/04/2018 00:00:00","12/31/9999 00:00:00","0","0","0","itg09704","03/29/2018 18:50:00","803001","itg36186","10/04/2018 08:28:19","PVU_XP_1302","13149","0000000000","02004","000","代理店計（廃止）","代理店計廃","ﾀﾞｲﾘﾃﾝｹｲ(ﾊｲｼ)","02000000000","青森県","","","","","999","","48","X","","3","69","69","","16","12"
