"EisaiTokuisaki_CD","TekiyoKaishi_DT","TekiyoShuryo_DT","Del_FLG","Sakuseisha_ID","Sakusei_DT","SakuseiProgram_ID","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Jikeihinmoku_EGR","Target_CD"
"45","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"46","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"48","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"54","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"65","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"78","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"82","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"96","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"98","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"116","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
"197","05/20/2020 00:00:00","12/31/9999 00:00:00","0","itg04213","05/20/2020 14:38:14","H200162","itg04213","05/20/2020 14:38:14","H200162","DVG","1"
