"Jujisha_CD","Item_KBN","Zokusei_KJ","Del_FLG","Sakuseisha_ID","Sakusei_DT","Koshinsha_ID","Koshin_DT","KoshinProgram_ID","Shinseisha_ID","Shinsei_DT","HubSakuseisha_ID","HubSakusei_DT","HubKoshinsha_ID","HubKoshin_DT","HubKoshinProgram_ID"
"00000344","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"00000382","042","1","False","11333","12/11/2023 00:00:00","11333","12/11/2023 00:00:00","PVZ_EX_0001_S02",,,"BATCH","12/11/2023 22:36:35","BATCH","12/11/2023 22:36:35","PVZ_XP_8002"
"00000858","042","1","False","11333","12/11/2023 00:00:00","11333","12/11/2023 00:00:00","PVZ_EX_0001_S02",,,"BATCH","12/11/2023 22:36:35","BATCH","12/11/2023 22:36:35","PVZ_XP_8002"
"00000860","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"00000860","042","1","False","11333","12/11/2023 00:00:00","11333","12/11/2023 00:00:00","PVZ_EX_0001_S02",,,"BATCH","12/11/2023 22:36:35","BATCH","12/11/2023 22:36:35","PVZ_XP_8002"
"00001147","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"00001211","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"00001239","042","1","False","11333","12/11/2023 00:00:00","11333","12/11/2023 00:00:00","PVZ_EX_0001_S02",,,"BATCH","12/11/2023 22:36:35","BATCH","12/11/2023 22:36:35","PVZ_XP_8002"
"00001260","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"00001296","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"00001416","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"00001708","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"00001710","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"00001758","041","1","False","11333","02/21/2024 00:00:00","11333","02/21/2024 00:00:00","PVZ_EX_0001_S02",,,"BATCH","02/21/2024 22:35:06","BATCH","02/21/2024 22:35:06","PVZ_XP_8002"
"00001758","042","1","False","11333","12/11/2023 00:00:00","11333","12/11/2023 00:00:00","PVZ_EX_0001_S02",,,"BATCH","12/11/2023 22:36:35","BATCH","12/11/2023 22:36:35","PVZ_XP_8002"
